"theta","vectors:0","vectors:1","vectors:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00163,0.0015748,-0.00042061,1,1,0,0,0,0
0.0018115,0.0016086,-0.00025792,1,1,0.000999,0.000999,0,0
0.001993,0.0016424,-9.5226e-05,1,1,0.001998,0.001998,0,0
0.0021745,0.0016762,6.7463e-05,1,1,0.002997,0.002997,0,0
0.002356,0.0017099,0.00023015,1,1,0.003996,0.003996,0,0
0.0025375,0.0017437,0.00039284,0.99999,1,0.004995,0.004995,0,0
0.002719,0.0017775,0.00055553,0.99999,1,0.005994,0.005994,0,0
0.0029005,0.0018113,0.00071822,0.99999,1,0.006993,0.006993,0,0
0.003082,0.0018451,0.00088091,0.99999,1,0.007992,0.007992,0,0
0.0032636,0.0018789,0.0010436,0.99999,1,0.008991,0.008991,0,0
0.0034451,0.0019127,0.0012063,0.99999,1,0.00999,0.00999,0,0
0.0036266,0.0019464,0.001369,0.99999,1,0.010989,0.010989,0,0
0.0038081,0.0019802,0.0015317,0.99999,1,0.011988,0.011988,0,0
0.0039896,0.002014,0.0016944,0.99999,1,0.012987,0.012987,0,0
0.0041711,0.0020478,0.0018571,0.99999,1,0.013986,0.013986,0,0
0.0043526,0.0020816,0.0020197,0.99999,1,0.014985,0.014985,0,0
0.0045341,0.0021154,0.0021824,0.99998,1,0.015984,0.015984,0,0
0.0047156,0.0021492,0.0023451,0.99998,1,0.016983,0.016983,0,0
0.0048971,0.0021829,0.0025078,0.99998,1,0.017982,0.017982,0,0
0.0050786,0.0022167,0.0026705,0.99998,1,0.018981,0.018981,0,0
0.0052601,0.0022505,0.0028332,0.99998,1,0.01998,0.01998,0,0
0.0054416,0.0022843,0.0029959,0.99998,1,0.020979,0.020979,0,0
0.0056231,0.0023181,0.0031586,0.99998,1,0.021978,0.021978,0,0
0.0058046,0.0023519,0.0033213,0.99998,1,0.022977,0.022977,0,0
0.0059861,0.0023856,0.0034839,0.99998,1,0.023976,0.023976,0,0
0.0061676,0.0024194,0.0036466,0.99998,1,0.024975,0.024975,0,0
0.0063491,0.0024532,0.0038093,0.99998,1,0.025974,0.025974,0,0
0.0065306,0.002487,0.003972,0.99997,1,0.026973,0.026973,0,0
0.0067121,0.0025208,0.0041347,0.99997,1,0.027972,0.027972,0,0
0.0068936,0.0025546,0.0042974,0.99997,1,0.028971,0.028971,0,0
0.0070751,0.0025884,0.0044601,0.99997,1,0.02997,0.02997,0,0
0.0072566,0.0026221,0.0046228,0.99997,1,0.030969,0.030969,0,0
0.0074382,0.0026559,0.0047855,0.99997,1,0.031968,0.031968,0,0
0.0075892,0.0026642,0.0049578,0.99997,1,0.032967,0.032967,0,0
0.0076977,0.0026366,0.0051436,0.99997,1,0.033966,0.033966,0,0
0.0078062,0.002609,0.0053294,0.99997,1,0.034965,0.034965,0,0
0.0079147,0.0025815,0.0055152,0.99997,1,0.035964,0.035964,0,0
0.0080232,0.0025539,0.0057011,0.99997,1,0.036963,0.036963,0,0
0.0081317,0.0025263,0.0058869,0.99996,1,0.037962,0.037962,0,0
0.0082402,0.0024988,0.0060727,0.99996,1,0.038961,0.038961,0,0
0.0083486,0.0024712,0.0062585,0.99996,1,0.03996,0.03996,0,0
