"theta","vectors:0","vectors:1","vectors:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.049994,-0.00094937,0.049961,0.99873,1,0.34066,0.34066,0,0
0.050217,-0.00094748,0.050185,0.99872,1,0.34166,0.34166,0,0
0.050441,-0.00094558,0.050409,0.99871,1,0.34266,0.34266,0,0
0.050665,-0.00094369,0.050632,0.9987,1,0.34366,0.34366,0,0
0.050889,-0.0009418,0.050856,0.99869,1,0.34466,0.34466,0,0
0.051113,-0.00093991,0.051079,0.99868,1,0.34565,0.34565,0,0
0.051336,-0.00093802,0.051303,0.99867,1,0.34665,0.34665,0,0
0.05156,-0.00093612,0.051527,0.99866,1,0.34765,0.34765,0,0
0.051784,-0.00093423,0.05175,0.99865,1,0.34865,0.34865,0,0
0.052008,-0.00093234,0.051974,0.99863,1,0.34965,0.34965,0,0
0.052231,-0.00093045,0.052197,0.99862,1,0.35065,0.35065,0,0
0.052455,-0.00092856,0.052421,0.99861,1,0.35165,0.35165,0,0
0.052679,-0.00092666,0.052645,0.9986,1,0.35265,0.35265,0,0
0.052903,-0.00092477,0.052868,0.99859,1,0.35365,0.35365,0,0
0.053127,-0.00092288,0.053092,0.99858,1,0.35465,0.35465,0,0
0.05335,-0.00092099,0.053316,0.99857,1,0.35564,0.35564,0,0
0.053574,-0.0009191,0.053539,0.99856,1,0.35664,0.35664,0,0
0.053798,-0.0009172,0.053763,0.99855,1,0.35764,0.35764,0,0
0.054022,-0.00091531,0.053986,0.99853,1,0.35864,0.35864,0,0
0.054246,-0.00091342,0.05421,0.99852,1,0.35964,0.35964,0,0
0.054469,-0.00091153,0.054434,0.99851,1,0.36064,0.36064,0,0
0.054693,-0.00090964,0.054657,0.9985,1,0.36164,0.36164,0,0
0.054917,-0.00090774,0.054881,0.99849,1,0.36264,0.36264,0,0
0.055141,-0.00090585,0.055104,0.99848,1,0.36364,0.36364,0,0
0.055364,-0.00090396,0.055328,0.99847,1,0.36463,0.36463,0,0
0.055611,-0.00090065,0.055575,0.99845,1,0.36563,0.36563,0,0
0.055873,-0.00089813,0.055835,0.99844,1,0.36663,0.36663,0,0
0.056134,-0.0008956,0.056096,0.99842,1,0.36763,0.36763,0,0
0.056395,-0.00089308,0.056357,0.9984,1,0.36863,0.36863,0,0
0.056657,-0.00089055,0.056618,0.99839,1,0.36963,0.36963,0,0
0.056918,-0.00088803,0.056879,0.99837,1,0.37063,0.37063,0,0
0.057179,-0.0008855,0.05714,0.99836,1,0.37163,0.37163,0,0
0.057441,-0.00088298,0.057401,0.99834,1,0.37263,0.37263,0,0
0.057702,-0.00088045,0.057662,0.99832,1,0.37363,0.37363,0,0
0.057964,-0.00087792,0.057923,0.99831,1,0.37462,0.37462,0,0
0.058225,-0.0008754,0.058184,0.99829,1,0.37562,0.37562,0,0
0.058486,-0.00087287,0.058445,0.99827,1,0.37662,0.37662,0,0
0.058748,-0.00087035,0.058706,0.99826,1,0.37762,0.37762,0,0
0.059009,-0.00086782,0.058966,0.99824,1,0.37862,0.37862,0,0
0.05927,-0.0008653,0.059227,0.99823,1,0.37962,0.37962,0,0
0.059532,-0.00086277,0.059488,0.99821,1,0.38062,0.38062,0,0
0.059793,-0.00086025,0.059749,0.99819,1,0.38162,0.38162,0,0
0.060054,-0.00085772,0.06001,0.99818,1,0.38262,0.38262,0,0
0.060316,-0.0008552,0.060271,0.99816,1,0.38362,0.38362,0,0
0.060577,-0.00085267,0.060532,0.99814,1,0.38462,0.38462,0,0
0.060838,-0.00085015,0.060793,0.99813,1,0.38561,0.38561,0,0
0.0611,-0.00084762,0.061054,0.99811,1,0.38661,0.38661,0,0
0.061361,-0.00084509,0.061315,0.9981,1,0.38761,0.38761,0,0
0.061622,-0.00084257,0.061576,0.99808,1,0.38861,0.38861,0,0
0.061884,-0.00084004,0.061836,0.99806,1,0.38961,0.38961,0,0
0.062145,-0.00083752,0.062097,0.99805,1,0.39061,0.39061,0,0
0.062407,-0.00083499,0.062358,0.99803,1,0.39161,0.39161,0,0
0.062668,-0.00083247,0.062619,0.99801,1,0.39261,0.39261,0,0
0.062929,-0.00082994,0.06288,0.998,1,0.39361,0.39361,0,0
0.063191,-0.00082742,0.063141,0.99798,1,0.39461,0.39461,0,0
0.063452,-0.00082489,0.063402,0.99797,1,0.3956,0.3956,0,0
0.063713,-0.00082237,0.063663,0.99795,1,0.3966,0.3966,0,0
0.063975,-0.00081984,0.063924,0.99793,1,0.3976,0.3976,0,0
0.064236,-0.00081732,0.064185,0.99792,1,0.3986,0.3986,0,0
0.064497,-0.00081479,0.064446,0.9979,1,0.3996,0.3996,0,0
0.064759,-0.00081227,0.064707,0.99788,1,0.4006,0.4006,0,0
0.06502,-0.00080974,0.064967,0.99787,1,0.4016,0.4016,0,0
0.065281,-0.00080721,0.065228,0.99785,1,0.4026,0.4026,0,0
0.065543,-0.00080469,0.065489,0.99784,1,0.4036,0.4036,0,0
0.065804,-0.00080216,0.06575,0.99782,1,0.4046,0.4046,0,0
0.066066,-0.00079964,0.066011,0.9978,1,0.40559,0.40559,0,0
0.066327,-0.00079711,0.066272,0.99779,1,0.40659,0.40659,0,0
0.066588,-0.00079459,0.066533,0.99777,1,0.40759,0.40759,0,0
0.06685,-0.00079206,0.066794,0.99775,1,0.40859,0.40859,0,0
0.067111,-0.00078954,0.067055,0.99774,1,0.40959,0.40959,0,0
0.067372,-0.00078701,0.067316,0.99772,1,0.41059,0.41059,0,0
0.067634,-0.00078449,0.067577,0.99771,1,0.41159,0.41159,0,0
0.067895,-0.00078196,0.067837,0.99769,1,0.41259,0.41259,0,0
0.068156,-0.00077944,0.068098,0.99767,1,0.41359,0.41359,0,0
0.068418,-0.00077691,0.068359,0.99766,1,0.41458,0.41458,0,0
0.068679,-0.00077439,0.06862,0.99764,1,0.41558,0.41558,0,0
0.068944,-0.00077087,0.068885,0.99762,1,0.41658,0.41658,0,0
0.069262,-0.00076185,0.069202,0.9976,1,0.41758,0.41758,0,0
0.06958,-0.00075282,0.069519,0.99758,1,0.41858,0.41858,0,0
0.069898,-0.0007438,0.069836,0.99755,1,0.41958,0.41958,0,0
0.070216,-0.00073478,0.070153,0.99753,1,0.42058,0.42058,0,0
0.070534,-0.00072576,0.07047,0.9975,1,0.42158,0.42158,0,0
0.070852,-0.00071674,0.070788,0.99748,1,0.42258,0.42258,0,0
0.07117,-0.00070771,0.071105,0.99745,1,0.42358,0.42358,0,0
0.071488,-0.00069869,0.071422,0.99743,1,0.42458,0.42458,0,0
0.071806,-0.00068967,0.071739,0.9974,1,0.42557,0.42557,0,0
0.072124,-0.00068065,0.072056,0.99738,1,0.42657,0.42657,0,0
0.072442,-0.00067162,0.072373,0.99735,1,0.42757,0.42757,0,0
0.07276,-0.00066261,0.072691,0.99733,1,0.42857,0.42857,0,0
0.073078,-0.00065359,0.073008,0.99731,1,0.42957,0.42957,0,0
0.073396,-0.00064457,0.073325,0.99728,1,0.43057,0.43057,0,0
0.073714,-0.00063555,0.073642,0.99726,1,0.43157,0.43157,0,0
0.074033,-0.00062653,0.073959,0.99723,1,0.43257,0.43257,0,0
0.074351,-0.00061752,0.074277,0.99721,1,0.43357,0.43357,0,0
0.074669,-0.0006085,0.074594,0.99718,1,0.43457,0.43457,0,0
0.074987,-0.00059948,0.074911,0.99716,1,0.43556,0.43556,0,0
0.075305,-0.00059046,0.075228,0.99713,1,0.43656,0.43656,0,0
0.075623,-0.00058144,0.075545,0.99711,1,0.43756,0.43756,0,0
0.075941,-0.00057243,0.075863,0.99708,1,0.43856,0.43856,0,0
0.076259,-0.00056341,0.07618,0.99706,1,0.43956,0.43956,0,0
0.076577,-0.00055439,0.076497,0.99704,1,0.44056,0.44056,0,0
0.076896,-0.00054537,0.076814,0.99701,1,0.44156,0.44156,0,0
0.077214,-0.00053635,0.077131,0.99699,1,0.44256,0.44256,0,0
0.077532,-0.00052734,0.077448,0.99696,1,0.44356,0.44356,0,0
0.07785,-0.00051832,0.077766,0.99694,1,0.44456,0.44456,0,0
0.078168,-0.0005093,0.078083,0.99691,1,0.44555,0.44555,0,0
0.078486,-0.00050028,0.0784,0.99689,1,0.44655,0.44655,0,0
0.078804,-0.00049126,0.078717,0.99686,1,0.44755,0.44755,0,0
0.079122,-0.00048225,0.079034,0.99684,1,0.44855,0.44855,0,0
0.07944,-0.00047323,0.079352,0.99682,1,0.44955,0.44955,0,0
0.079758,-0.00046421,0.079669,0.99679,1,0.45055,0.45055,0,0
0.080077,-0.00045519,0.079986,0.99677,1,0.45155,0.45155,0,0
0.080395,-0.00044617,0.080303,0.99674,1,0.45255,0.45255,0,0
0.080713,-0.00043716,0.08062,0.99672,1,0.45355,0.45355,0,0
0.081031,-0.00042814,0.080938,0.99669,1,0.45454,0.45454,0,0
0.081349,-0.00041912,0.081255,0.99667,1,0.45554,0.45554,0,0
0.081667,-0.0004101,0.081572,0.99664,1,0.45654,0.45654,0,0
0.081985,-0.00040108,0.081889,0.99662,1,0.45754,0.45754,0,0
0.082303,-0.00039207,0.082206,0.99659,1,0.45854,0.45854,0,0
0.082621,-0.00038305,0.082524,0.99657,1,0.45954,0.45954,0,0
0.08294,-0.00037403,0.082841,0.99655,1,0.46054,0.46054,0,0
0.083258,-0.00036501,0.083158,0.99652,1,0.46154,0.46154,0,0
0.083576,-0.00035599,0.083475,0.9965,1,0.46254,0.46254,0,0
0.083894,-0.00034698,0.083792,0.99647,1,0.46354,0.46354,0,0
0.084212,-0.00033796,0.084109,0.99645,1,0.46453,0.46453,0,0
0.08453,-0.00032894,0.084427,0.99642,1,0.46553,0.46553,0,0
0.084848,-0.00031992,0.084744,0.9964,1,0.46653,0.46653,0,0
0.085166,-0.0003109,0.085061,0.99637,1,0.46753,0.46753,0,0
0.085493,-0.00030554,0.085387,0.99635,1,0.46853,0.46853,0,0
0.085874,-0.00029998,0.085766,0.99631,1,0.46953,0.46953,0,0
0.086255,-0.00029441,0.086145,0.99627,1,0.47053,0.47053,0,0
0.086636,-0.00028885,0.086524,0.99624,1,0.47153,0.47153,0,0
0.087016,-0.00028328,0.086903,0.9962,1,0.47253,0.47253,0,0
0.087397,-0.00027772,0.087283,0.99617,1,0.47353,0.47353,0,0
0.087778,-0.00027216,0.087662,0.99613,1,0.47453,0.47453,0,0
0.088159,-0.00026659,0.088041,0.99609,1,0.47552,0.47552,0,0
0.08854,-0.00026103,0.08842,0.99606,1,0.47652,0.47652,0,0
0.08892,-0.00025546,0.088799,0.99602,1,0.47752,0.47752,0,0
0.089301,-0.0002499,0.089178,0.99598,1,0.47852,0.47852,0,0
0.089682,-0.00024433,0.089557,0.99595,1,0.47952,0.47952,0,0
0.090063,-0.00023877,0.089936,0.99591,1,0.48052,0.48052,0,0
0.090443,-0.00023321,0.090315,0.99588,1,0.48152,0.48152,0,0
0.090824,-0.00022764,0.090694,0.99584,1,0.48252,0.48252,0,0
0.091205,-0.00022208,0.091073,0.9958,1,0.48352,0.48352,0,0
0.091586,-0.00021651,0.091452,0.99577,1,0.48452,0.48452,0,0
