"theta","vectors:0","vectors:1","vectors:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31726,-0.31121,-0.020916,0.94993,1,0.83417,0,0.83417,0
0.318,-0.31192,-0.020947,0.9497,1,0.83516,0,0.83516,0
0.31874,-0.31262,-0.020979,0.94948,1,0.83616,0,0.83616,0
0.31948,-0.31332,-0.02101,0.94925,1,0.83716,0,0.83716,0
0.32022,-0.31403,-0.021041,0.94903,1,0.83816,0,0.83816,0
0.32096,-0.31473,-0.021072,0.9488,1,0.83916,0,0.83916,0
0.3217,-0.31544,-0.021104,0.94858,1,0.84016,0,0.84016,0
0.32244,-0.31614,-0.021135,0.94836,1,0.84116,0,0.84116,0
0.32318,-0.31685,-0.021166,0.94813,1,0.84216,0,0.84216,0
0.32392,-0.31755,-0.021197,0.94791,1,0.84316,0,0.84316,0
0.32466,-0.31825,-0.021228,0.94768,1,0.84416,0,0.84416,0
0.3254,-0.31896,-0.02126,0.94746,1,0.84515,0,0.84515,0
0.32614,-0.31966,-0.021291,0.94723,1,0.84615,0,0.84615,0
0.32688,-0.32037,-0.021322,0.94701,1,0.84715,0,0.84715,0
0.32762,-0.32107,-0.021353,0.94679,1,0.84815,0,0.84815,0
0.32836,-0.32178,-0.021384,0.94656,1,0.84915,0,0.84915,0
0.32912,-0.32249,-0.021415,0.94632,1,0.85015,0,0.85015,0
0.32994,-0.32326,-0.021455,0.94604,1,0.85115,0,0.85115,0
0.33076,-0.32403,-0.021494,0.94576,1,0.85215,0,0.85215,0
0.33158,-0.3248,-0.021534,0.94548,1,0.85315,0,0.85315,0
0.3324,-0.32557,-0.021574,0.94519,1,0.85414,0,0.85414,0
0.33322,-0.32634,-0.021613,0.94491,1,0.85514,0,0.85514,0
0.33404,-0.32711,-0.021653,0.94463,1,0.85614,0,0.85614,0
0.33487,-0.32789,-0.021692,0.94435,1,0.85714,0,0.85714,0
0.33569,-0.32866,-0.021732,0.94406,1,0.85814,0,0.85814,0
0.33651,-0.32943,-0.021771,0.94378,1,0.85914,0,0.85914,0
0.33733,-0.3302,-0.021811,0.9435,1,0.86014,0,0.86014,0
0.33815,-0.33097,-0.02185,0.94321,1,0.86114,0,0.86114,0
0.33897,-0.33174,-0.02189,0.94293,1,0.86214,0,0.86214,0
0.33979,-0.33251,-0.021929,0.94265,1,0.86314,0,0.86314,0
0.34061,-0.33328,-0.021969,0.94237,1,0.86414,0,0.86414,0
0.34143,-0.33405,-0.022009,0.94208,1,0.86513,0,0.86513,0
0.34226,-0.33482,-0.022048,0.9418,1,0.86613,0,0.86613,0
0.34308,-0.33559,-0.022088,0.94152,1,0.86713,0,0.86713,0
0.3439,-0.33636,-0.022127,0.94124,1,0.86813,0,0.86813,0
0.34472,-0.33713,-0.022167,0.94095,1,0.86913,0,0.86913,0
0.34554,-0.3379,-0.022206,0.94067,1,0.87013,0,0.87013,0
0.34636,-0.33867,-0.022246,0.94039,1,0.87113,0,0.87113,0
0.34718,-0.33944,-0.022285,0.9401,1,0.87213,0,0.87213,0
0.348,-0.34021,-0.022325,0.93982,1,0.87313,0,0.87313,0
0.34883,-0.34098,-0.022364,0.93954,1,0.87413,0,0.87413,0
0.34965,-0.34175,-0.022404,0.93926,1,0.87512,0,0.87512,0
0.35047,-0.34252,-0.022444,0.93897,1,0.87612,0,0.87612,0
0.35129,-0.34329,-0.022483,0.93869,1,0.87712,0,0.87712,0
0.35211,-0.34406,-0.022523,0.93841,1,0.87812,0,0.87812,0
0.35293,-0.34483,-0.022562,0.93813,1,0.87912,0,0.87912,0
0.35375,-0.3456,-0.022602,0.93784,1,0.88012,0,0.88012,0
0.35457,-0.34637,-0.022641,0.93756,1,0.88112,0,0.88112,0
0.3554,-0.34714,-0.022681,0.93728,1,0.88212,0,0.88212,0
0.35622,-0.34791,-0.02272,0.93699,1,0.88312,0,0.88312,0
0.35704,-0.34868,-0.02276,0.93671,1,0.88412,0,0.88412,0
0.35786,-0.34945,-0.0228,0.93643,1,0.88511,0,0.88511,0
0.35868,-0.35022,-0.022839,0.93615,1,0.88611,0,0.88611,0
0.3595,-0.35099,-0.022879,0.93586,1,0.88711,0,0.88711,0
0.36032,-0.35176,-0.022918,0.93558,1,0.88811,0,0.88811,0
0.36114,-0.35253,-0.022958,0.9353,1,0.88911,0,0.88911,0
0.36197,-0.3533,-0.022997,0.93502,1,0.89011,0,0.89011,0
0.36279,-0.35407,-0.023037,0.93473,1,0.89111,0,0.89111,0
0.36361,-0.35484,-0.023076,0.93445,1,0.89211,0,0.89211,0
0.36443,-0.35561,-0.023116,0.93417,1,0.89311,0,0.89311,0
0.36525,-0.35638,-0.023155,0.93389,1,0.89411,0,0.89411,0
0.36607,-0.35715,-0.023195,0.9336,1,0.8951,0,0.8951,0
0.36689,-0.35792,-0.023235,0.93332,1,0.8961,0,0.8961,0
0.36771,-0.35869,-0.023274,0.93304,1,0.8971,0,0.8971,0
0.36854,-0.35946,-0.023314,0.93275,1,0.8981,0,0.8981,0
0.36936,-0.36023,-0.023353,0.93247,1,0.8991,0,0.8991,0
0.37018,-0.361,-0.023393,0.93219,1,0.9001,0,0.9001,0
0.371,-0.36177,-0.023432,0.93191,1,0.9011,0,0.9011,0
0.37182,-0.36254,-0.023472,0.93162,1,0.9021,0,0.9021,0
0.37264,-0.36331,-0.023511,0.93134,1,0.9031,0,0.9031,0
0.37346,-0.36408,-0.023551,0.93106,1,0.90409,0,0.90409,0
0.37431,-0.36487,-0.02359,0.93076,1,0.90509,0,0.90509,0
0.37521,-0.3657,-0.023632,0.93041,1,0.90609,0,0.90609,0
0.37611,-0.36653,-0.023674,0.93006,1,0.90709,0,0.90709,0
0.37702,-0.36736,-0.023716,0.92971,1,0.90809,0,0.90809,0
0.37792,-0.36819,-0.023758,0.92936,1,0.90909,0,0.90909,0
0.37882,-0.36902,-0.023799,0.92901,1,0.91009,0,0.91009,0
0.37972,-0.36985,-0.023841,0.92866,1,0.91109,0,0.91109,0
0.38063,-0.37068,-0.023883,0.92832,1,0.91209,0,0.91209,0
0.38153,-0.37152,-0.023925,0.92797,1,0.91309,0,0.91309,0
0.38243,-0.37235,-0.023967,0.92762,1,0.91409,0,0.91409,0
0.38333,-0.37318,-0.024009,0.92727,1,0.91508,0,0.91508,0
0.38423,-0.37401,-0.024051,0.92692,1,0.91608,0,0.91608,0
0.38514,-0.37484,-0.024092,0.92657,1,0.91708,0,0.91708,0
0.38604,-0.37567,-0.024134,0.92622,1,0.91808,0,0.91808,0
0.38694,-0.3765,-0.024176,0.92588,1,0.91908,0,0.91908,0
0.38784,-0.37734,-0.024218,0.92553,1,0.92008,0,0.92008,0
0.38875,-0.37817,-0.02426,0.92518,1,0.92108,0,0.92108,0
0.38965,-0.379,-0.024301,0.92483,1,0.92208,0,0.92208,0
0.39055,-0.37983,-0.024343,0.92448,1,0.92308,0,0.92308,0
0.39145,-0.38066,-0.024385,0.92413,1,0.92408,0,0.92408,0
0.39236,-0.38149,-0.024427,0.92379,1,0.92507,0,0.92507,0
0.39326,-0.38232,-0.024469,0.92344,1,0.92607,0,0.92607,0
0.39416,-0.38315,-0.024511,0.92309,1,0.92707,0,0.92707,0
0.39506,-0.38399,-0.024552,0.92274,1,0.92807,0,0.92807,0
0.39597,-0.38482,-0.024594,0.92239,1,0.92907,0,0.92907,0
0.39687,-0.38565,-0.024636,0.92204,1,0.93007,0,0.93007,0
0.39777,-0.38648,-0.024678,0.92169,1,0.93107,0,0.93107,0
0.39867,-0.38731,-0.02472,0.92135,1,0.93207,0,0.93207,0
0.39958,-0.38814,-0.024761,0.921,1,0.93307,0,0.93307,0
0.40048,-0.38897,-0.024803,0.92065,1,0.93406,0,0.93406,0
0.40138,-0.38981,-0.024845,0.9203,1,0.93506,0,0.93506,0
0.40228,-0.39064,-0.024887,0.91995,1,0.93606,0,0.93606,0
0.40319,-0.39147,-0.024929,0.9196,1,0.93706,0,0.93706,0
0.40409,-0.3923,-0.024971,0.91925,1,0.93806,0,0.93806,0
0.40499,-0.39313,-0.025012,0.91891,1,0.93906,0,0.93906,0
0.40589,-0.39396,-0.025054,0.91856,1,0.94006,0,0.94006,0
0.4068,-0.39479,-0.025096,0.91821,1,0.94106,0,0.94106,0
0.4077,-0.39563,-0.025138,0.91786,1,0.94206,0,0.94206,0
0.4086,-0.39646,-0.02518,0.91751,1,0.94306,0,0.94306,0
0.4095,-0.39729,-0.025221,0.91716,1,0.94406,0,0.94406,0
0.41041,-0.39812,-0.025263,0.91681,1,0.94505,0,0.94505,0
0.41131,-0.39895,-0.025305,0.91647,1,0.94605,0,0.94605,0
0.41221,-0.39978,-0.025347,0.91612,1,0.94705,0,0.94705,0
0.41311,-0.40061,-0.025389,0.91577,1,0.94805,0,0.94805,0
0.41402,-0.40144,-0.025431,0.91542,1,0.94905,0,0.94905,0
0.41492,-0.40228,-0.025472,0.91507,1,0.95005,0,0.95005,0
0.41582,-0.40311,-0.025514,0.91472,1,0.95105,0,0.95105,0
0.41672,-0.40394,-0.025556,0.91438,1,0.95205,0,0.95205,0
0.41763,-0.40477,-0.025598,0.91403,1,0.95305,0,0.95305,0
0.41853,-0.4056,-0.02564,0.91368,1,0.95404,0,0.95404,0
0.41947,-0.40646,-0.025692,0.91329,1,0.95504,0,0.95504,0
0.42047,-0.40736,-0.025749,0.91287,1,0.95604,0,0.95604,0
0.42146,-0.40826,-0.025805,0.91244,1,0.95704,0,0.95704,0
0.42245,-0.40915,-0.025862,0.91202,1,0.95804,0,0.95804,0
0.42345,-0.41005,-0.025918,0.9116,1,0.95904,0,0.95904,0
0.42444,-0.41094,-0.025975,0.91117,1,0.96004,0,0.96004,0
0.42543,-0.41184,-0.026032,0.91075,1,0.96104,0,0.96104,0
0.42643,-0.41274,-0.026088,0.91032,1,0.96204,0,0.96204,0
0.42742,-0.41363,-0.026145,0.9099,1,0.96304,0,0.96304,0
0.42841,-0.41453,-0.026201,0.90947,1,0.96404,0,0.96404,0
0.42941,-0.41542,-0.026258,0.90905,1,0.96503,0,0.96503,0
0.4304,-0.41632,-0.026315,0.90862,1,0.96603,0,0.96603,0
0.43139,-0.41722,-0.026371,0.9082,1,0.96703,0,0.96703,0
0.43239,-0.41811,-0.026428,0.90778,1,0.96803,0,0.96803,0
0.43338,-0.41901,-0.026484,0.90735,1,0.96903,0,0.96903,0
0.43437,-0.4199,-0.026541,0.90693,1,0.97003,0,0.97003,0
0.43537,-0.4208,-0.026598,0.9065,1,0.97103,0,0.97103,0
0.43636,-0.4217,-0.026654,0.90608,1,0.97203,0,0.97203,0
0.43735,-0.42259,-0.026711,0.90565,1,0.97303,0,0.97303,0
0.43835,-0.42349,-0.026767,0.90523,1,0.97403,0,0.97403,0
0.43934,-0.42438,-0.026824,0.9048,1,0.97502,0,0.97502,0
0.44033,-0.42528,-0.02688,0.90438,1,0.97602,0,0.97602,0
0.44133,-0.42618,-0.026937,0.90396,1,0.97702,0,0.97702,0
0.44232,-0.42707,-0.026994,0.90353,1,0.97802,0,0.97802,0
0.44331,-0.42797,-0.02705,0.90311,1,0.97902,0,0.97902,0
0.44431,-0.42887,-0.027107,0.90268,1,0.98002,0,0.98002,0
0.4453,-0.42976,-0.027163,0.90226,1,0.98102,0,0.98102,0
0.44629,-0.43066,-0.02722,0.90183,1,0.98202,0,0.98202,0
0.44729,-0.43155,-0.027277,0.90141,1,0.98302,0,0.98302,0
0.44828,-0.43245,-0.027333,0.90098,1,0.98401,0,0.98401,0
0.44927,-0.43335,-0.02739,0.90056,1,0.98501,0,0.98501,0
0.45026,-0.43424,-0.027446,0.90014,1,0.98601,0,0.98601,0
0.45126,-0.43514,-0.027503,0.89971,1,0.98701,0,0.98701,0
0.45225,-0.43603,-0.02756,0.89929,1,0.98801,0,0.98801,0
0.45324,-0.43693,-0.027616,0.89886,1,0.98901,0,0.98901,0
0.45424,-0.43783,-0.027673,0.89844,1,0.99001,0,0.99001,0
0.45523,-0.43872,-0.027729,0.89801,1,0.99101,0,0.99101,0
0.45622,-0.43962,-0.027786,0.89759,1,0.99201,0,0.99201,0
0.45722,-0.44051,-0.027843,0.89716,1,0.99301,0,0.99301,0
0.45821,-0.44141,-0.027899,0.89674,1,0.99401,0,0.99401,0
0.4592,-0.44231,-0.027956,0.89632,1,0.995,0,0.995,0
0.4602,-0.4432,-0.028012,0.89589,1,0.996,0,0.996,0
0.46119,-0.4441,-0.028069,0.89547,1,0.997,0,0.997,0
0.46218,-0.44499,-0.028126,0.89504,1,0.998,0,0.998,0
0.46318,-0.44589,-0.028182,0.89462,1,0.999,0,0.999,0
