s, q, Energy
0.025, 0.3, 23.375785104016384
0.025, 0.4, 24.979519905645045
0.025, 0.5, 27.595065108211273
0.025, 0.6, 31.19976772897137
0.025, 0.7, 35.8026382103928
0.025, 0.8, 41.42484378477074
0.05, 0.3, 23.491149674285555
0.05, 0.4, 25.127534224497293
0.05, 0.5, 27.726784997648135
0.05, 0.6, 31.398092836592117
0.05, 0.7, 35.93647397756802
0.05, 0.8, 41.87060855946397
0.075, 0.3, 23.592634278792218
0.075, 0.4, 25.250898125388886
0.075, 0.5, 27.864725521408545
0.075, 0.6, 31.483884619432327
0.075, 0.7, 36.16364721261906
0.075, 0.8, 41.84876378017622
0.1, 0.3, 23.774800753749897
0.1, 0.4, 25.401249692932318
0.1, 0.5, 27.993383179872385
0.1, 0.6, 31.612565697644282
0.1, 0.7, 36.30773484564833
0.1, 0.8, 42.0340231887159
0.125, 0.3, 23.797243959576853
0.125, 0.4, 25.45537477830533
0.125, 0.5, 28.088431816740332
0.125, 0.6, 31.720014343734615
0.125, 0.7, 36.482433701116136
0.125, 0.8, 42.09614174235888
0.15, 0.3, 23.84126183500789
0.15, 0.4, 25.523198087520615
0.15, 0.5, 28.173956381681247
0.15, 0.6, 31.80716819536309
0.15, 0.7, 36.38661794430955
0.15, 0.8, 42.261434902122474
0.175, 0.3, 23.6443619940356
0.175, 0.4, 25.452430772192702
0.175, 0.5, 28.066820452088397
0.175, 0.6, 31.752317139317714
0.175, 0.7, 36.43390013330383
0.175, 0.8, 42.28632605950192
0.2, 0.3, 23.5202173646925
0.2, 0.4, 25.34342352317006
0.2, 0.5, 28.078560586209406
0.2, 0.6, 31.767016119428604
0.2, 0.7, 36.66766391888684
0.2, 0.8, 42.288030011894534
0.225, 0.3, 23.476978211985934
0.225, 0.4, 25.30191084733253
0.225, 0.5, 28.05598828640522
0.225, 0.6, 31.795605509947954
0.225, 0.7, 36.70736032660079
0.225, 0.8, 42.29556975458284
0.25, 0.3, 23.316407802296673
0.25, 0.4, 25.213830549840072
0.25, 0.5, 28.02878243622662
0.25, 0.6, 31.79057728034027
0.25, 0.7, 36.73040756726772
0.25, 0.8, 42.30860998073629
0.275, 0.3, 23.53273816877821
0.275, 0.4, 25.428102817296924
0.275, 0.5, 28.224124526197045
0.275, 0.6, 31.993518591040896
0.275, 0.7, 36.74896492810097
0.275, 0.8, 42.719358248116194
0.3, 0.3, 23.353752263104962
0.3, 0.4, 25.307487105116465
0.3, 0.5, 28.15494102075117
0.3, 0.6, 31.96090325263442
0.3, 0.7, 36.76058073940971
0.3, 0.8, 42.59726892234554
0.325, 0.3, 23.163779567249172
0.325, 0.4, 25.17489026963242
0.325, 0.5, 28.0727638717424
0.325, 0.6, 31.937363346719884
0.325, 0.7, 36.74032644580439
0.325, 0.8, 42.630740612786056
0.35, 0.3, 22.952229483246466
0.35, 0.4, 25.036560016402845
0.35, 0.5, 28.00227882315915
0.35, 0.6, 31.900354358762844
0.35, 0.7, 36.88822635990487
0.35, 0.8, 42.66287132335792
0.375, 0.3, 22.77426337892894
0.375, 0.4, 24.854470905007112
0.375, 0.5, 27.89558054409232
0.375, 0.6, 31.854844925387134
0.375, 0.7, 36.75294810075806
0.375, 0.8, 42.67186757020722
0.4, 0.3, 22.593910143749248
0.4, 0.4, 24.742173649927757
0.4, 0.5, 27.788624567429373
0.4, 0.6, 31.812280211149126
0.4, 0.7, 36.730511941842785
0.4, 0.8, 42.68689664991779
0.425, 0.3, 22.40914401607536
0.425, 0.4, 24.601401792969327
0.425, 0.5, 27.701813987936116
0.425, 0.6, 31.772304617064847
0.425, 0.7, 36.745804823845845
0.425, 0.8, 42.69484929357652
0.45, 0.3, 22.290491687877356
0.45, 0.4, 24.46141018572865
0.45, 0.5, 27.60965799635768
0.45, 0.6, 31.83884759837564
0.45, 0.7, 36.770705713988924
0.45, 0.8, 42.699047224504596
0.475, 0.3, 22.113350393529625
0.475, 0.4, 24.421144752538567
0.475, 0.5, 27.534605611930505
0.475, 0.6, 31.678953785853018
0.475, 0.7, 36.69006180794425
0.475, 0.8, 42.79000372674745
0.5, 0.3, 22.025818946945332
0.5, 0.4, 24.28460120694284
0.5, 0.5, 27.45706835920745
0.5, 0.6, 31.630305919980813
0.5, 0.7, 36.677753800717674
0.5, 0.8, 42.67442870179127
0.525, 0.3, 21.86172107781502
0.525, 0.4, 24.19625944410818
0.525, 0.5, 27.37988834968327
0.525, 0.6, 31.607011290352872
0.525, 0.7, 36.65905134832198
0.525, 0.8, 42.64502381042685
0.55, 0.3, 21.66996635609028
0.55, 0.4, 23.99112852678689
0.55, 0.5, 27.30561604699931
0.55, 0.6, 31.558227545488723
0.55, 0.7, 36.634067140428655
0.55, 0.8, 42.59741042336224
0.575, 0.3, 21.511287203306203
0.575, 0.4, 23.855116022398956
0.575, 0.5, 27.23324221794175
0.575, 0.6, 31.515288704597666
0.575, 0.7, 36.596663315228916
0.575, 0.8, 42.55332271309247
0.6, 0.3, 21.395989342893895
0.6, 0.4, 23.825225598716116
0.6, 0.5, 27.162287976030967
0.6, 0.6, 31.489362697692496
0.6, 0.7, 36.54153943701516
0.6, 0.8, 42.49979938722017
0.625, 0.3, 21.243723288514936
0.625, 0.4, 23.71721778933005
0.625, 0.5, 27.0997657041861
0.625, 0.6, 31.457092509004923
0.625, 0.7, 36.49975933762212
0.625, 0.8, 42.43100531952852
0.65, 0.3, 21.104055441882053
0.65, 0.4, 23.61472636787537
0.65, 0.5, 27.02790024386215
0.65, 0.6, 31.537737206326447
0.65, 0.7, 36.45819130927202
0.65, 0.8, 42.33124812686888
0.675, 0.3, 20.962391769861096
0.675, 0.4, 23.50875116358105
0.675, 0.5, 26.96084547498015
0.675, 0.6, 31.362627160807786
0.675, 0.7, 36.36568312271572
0.675, 0.8, 42.263454559809404
0.7, 0.3, 20.796363776636824
0.7, 0.4, 23.4133386874446
0.7, 0.5, 26.882947613909465
0.7, 0.6, 31.430932300308367
0.7, 0.7, 36.34864667445019
0.7, 0.8, 42.16432523078967
0.725, 0.3, 20.662209225851047
0.725, 0.4, 23.295946230325804
0.725, 0.5, 26.818711718857365
0.725, 0.6, 31.37556790497416
0.725, 0.7, 36.26765662746294
0.725, 0.8, 42.04940587179967
0.75, 0.3, 20.579357242850758
0.75, 0.4, 23.231466848556874
0.75, 0.5, 26.757085180070057
0.75, 0.6, 31.359839909364304
0.75, 0.7, 36.17533520868467
0.75, 0.8, 41.92794063673004
0.775, 0.3, 20.434350776623972
0.775, 0.4, 23.102053794394195
0.775, 0.5, 26.71020509997578
0.775, 0.6, 31.170356641566585
0.775, 0.7, 36.09848532825906
0.775, 0.8, 41.80046922282332
