s, q, Energy
0.025, 0.3, 23.31948250401639
0.025, 0.4, 24.923933705645037
0.025, 0.5, 27.540711708211266
0.025, 0.6, 31.14589792897137
0.025, 0.7, 35.73791761039276
0.025, 0.8, 41.35380358477073
0.05, 0.3, 23.378544474285547
0.05, 0.4, 25.016361624497296
0.05, 0.5, 27.618077997648147
0.05, 0.6, 31.290353236592107
0.05, 0.7, 35.80703277756803
0.05, 0.8, 41.72852815946396
0.075, 0.3, 23.423726478792222
0.075, 0.4, 25.084139325388875
0.075, 0.5, 27.70166512140854
0.075, 0.6, 31.32227521943234
0.075, 0.7, 35.96948541261906
0.075, 0.8, 41.635643180176224
0.1, 0.3, 23.5495901537499
0.1, 0.4, 25.178904492932315
0.1, 0.5, 27.77596917987238
0.1, 0.6, 31.39708649764428
0.1, 0.7, 36.04885244564835
0.1, 0.8, 41.7498621887159
0.125, 0.3, 23.515730759576854
0.125, 0.4, 25.177443378305313
0.125, 0.5, 27.81666441674033
0.125, 0.6, 31.45066534373462
0.125, 0.7, 36.15883070111613
0.125, 0.8, 41.740940542358885
0.15, 0.3, 23.503446035007887
0.15, 0.4, 25.189680287520613
0.15, 0.5, 27.847835381681257
0.15, 0.6, 31.48394939536307
0.15, 0.7, 35.998294144309554
0.15, 0.8, 41.83519350212248
0.175, 0.3, 23.250243594035588
0.175, 0.4, 25.0633267721927
0.175, 0.5, 27.686346052088386
0.175, 0.6, 31.375228539317717
0.175, 0.7, 35.9808557333038
0.175, 0.8, 41.7890444595019
0.2, 0.3, 23.069796364692493
0.2, 0.4, 24.898733323170042
0.2, 0.5, 27.64373258620941
0.2, 0.6, 31.33605771942861
0.2, 0.7, 36.14989891888685
0.2, 0.8, 41.719708211894606
0.225, 0.3, 22.97025461198594
0.225, 0.4, 24.801634247332515
0.225, 0.5, 27.56680688640522
0.225, 0.6, 31.310777309947955
0.225, 0.7, 36.124874726600794
0.225, 0.8, 41.65620775458285
0.25, 0.3, 22.75338140229667
0.25, 0.4, 24.65796774984007
0.25, 0.5, 27.485247436226622
0.25, 0.6, 31.251879280340276
0.25, 0.7, 36.08320136726772
0.25, 0.8, 41.59820778073629
0.275, 0.3, 22.9134091687782
0.275, 0.4, 24.81665361729693
0.275, 0.5, 27.626236126197053
0.275, 0.6, 31.4009507910409
0.275, 0.7, 36.03703812810096
0.275, 0.8, 41.9379158481162
0.3, 0.3, 22.678120663104966
0.3, 0.4, 24.64045170511646
0.3, 0.5, 27.50269902075115
0.3, 0.6, 31.31446565263442
0.3, 0.7, 35.983933339409724
0.3, 0.8, 41.74478612234553
0.325, 0.3, 22.431845367249174
0.325, 0.4, 24.452268469632433
0.325, 0.5, 27.36616847174238
0.325, 0.6, 31.23705574671989
0.325, 0.7, 35.89895844580439
0.325, 0.8, 41.70721761278607
0.35, 0.3, 22.16399268324645
0.35, 0.4, 24.258352016402842
0.35, 0.5, 27.241329823159155
0.35, 0.6, 31.146176958762844
0.35, 0.7, 35.98213775990489
0.35, 0.8, 41.66830812335791
0.375, 0.3, 21.929723978928934
0.375, 0.4, 24.020676705007116
0.375, 0.5, 27.08027814409231
0.375, 0.6, 31.04679772538713
0.375, 0.7, 35.78213890075807
0.375, 0.8, 41.606264170207204
0.4, 0.3, 21.693067943749252
0.4, 0.4, 23.852793049927772
0.4, 0.5, 26.91896856742937
0.4, 0.6, 30.950363211149128
0.4, 0.7, 35.694982141842786
0.4, 0.8, 41.550253049917806
0.425, 0.3, 21.451999216075357
0.425, 0.4, 23.656434992969327
0.425, 0.5, 26.777804587936124
0.425, 0.6, 30.856517817064834
0.425, 0.7, 35.64555442384585
0.425, 0.8, 41.487165493576526
0.45, 0.3, 21.27704428787736
0.45, 0.4, 23.460856985728654
0.45, 0.5, 26.63129519635767
0.45, 0.6, 30.869190998375633
0.45, 0.7, 35.60573451398893
0.45, 0.8, 41.4203232245046
0.475, 0.3, 21.04360039352962
0.475, 0.4, 23.365005352538567
0.475, 0.5, 26.5018892119305
0.475, 0.6, 30.655427385853024
0.475, 0.7, 35.46037000794425
0.475, 0.8, 41.440239526747455
0.5, 0.3, 20.89976634694532
0.5, 0.4, 23.172875406942836
0.5, 0.5, 26.369998559207467
0.5, 0.6, 30.552909719980814
0.5, 0.7, 35.383341400717654
0.5, 0.8, 41.25362410179126
0.525, 0.3, 20.679365877815016
0.525, 0.4, 23.028947444108173
0.525, 0.5, 26.238464949683255
0.525, 0.6, 30.475745290352886
0.525, 0.7, 35.29991834832198
0.525, 0.8, 41.15317901042685
0.55, 0.3, 20.431308356090277
0.55, 0.4, 22.7682303267869
0.55, 0.5, 26.10983924699931
0.55, 0.6, 30.373091745488736
0.55, 0.7, 35.21021354042865
0.55, 0.8, 41.034525423362226
0.575, 0.3, 20.216326603306204
0.575, 0.4, 22.576631422398965
0.575, 0.5, 25.98311181794175
0.575, 0.6, 30.276283104597677
0.575, 0.7, 35.108089115228914
0.575, 0.8, 40.91939751309248
0.6, 0.3, 20.044726142893893
0.6, 0.4, 22.491154798716124
0.6, 0.5, 25.857804176030967
0.6, 0.6, 30.196487297692485
0.6, 0.7, 34.988244637015164
0.6, 0.8, 40.794833987220166
0.625, 0.3, 19.836157488514935
0.625, 0.4, 22.32756058933005
0.625, 0.5, 25.74092830418611
0.625, 0.6, 30.110347309004933
0.625, 0.7, 34.88174393762213
0.625, 0.8, 40.654999719528526
0.65, 0.3, 19.640187041882054
0.65, 0.4, 22.16948296787537
0.65, 0.5, 25.614709443862147
0.65, 0.6, 30.137122206326442
0.65, 0.7, 34.77545530927203
0.65, 0.8, 40.48420232686888
0.675, 0.3, 19.44222076986109
0.675, 0.4, 22.007921363581044
0.675, 0.5, 25.493301074980156
0.675, 0.6, 29.908142360807783
0.675, 0.7, 34.618226522715716
0.675, 0.8, 40.345368559809415
0.7, 0.3, 19.219889976636825
0.7, 0.4, 21.856922687444598
0.7, 0.5, 25.361049813909474
0.7, 0.6, 29.922577700308363
0.7, 0.7, 34.536469474450186
0.7, 0.8, 40.175198830789675
0.725, 0.3, 19.029432825851053
0.725, 0.4, 21.683944030325804
0.725, 0.5, 25.24246031885736
0.725, 0.6, 29.81334350497416
0.725, 0.7, 34.39075882746294
0.725, 0.8, 39.989239271799654
0.75, 0.3, 18.890278242850762
0.75, 0.4, 21.563878248556875
0.75, 0.5, 25.126480380070056
0.75, 0.6, 29.74374570936434
0.75, 0.7, 34.23371660868466
0.75, 0.8, 39.796733836730056
0.775, 0.3, 18.688969176623974
0.775, 0.4, 21.37887899439419
0.775, 0.5, 25.02524669997578
0.775, 0.6, 29.500392641566584
0.775, 0.7, 34.09214612825907
0.775, 0.8, 39.59822222282332
0.8, 0.3, 18.466590546975603
0.8, 0.4, 21.2391613890578
0.8, 0.5, 24.870784363996414
0.8, 0.6, 29.52558702781677
0.8, 0.7, 33.953874034333744
0.8, 0.8, 39.397197547452905
0.825, 0.3, 18.264055738583355
0.825, 0.4, 21.063330760569993
0.825, 0.5, 24.736824120763373
0.825, 0.6, 29.41679284577992
0.825, 0.7, 33.778114985944754
0.825, 0.8, 39.178531991327354
0.85, 0.3, 18.070441379292568
0.85, 0.4, 20.89696846982607
0.85, 0.5, 24.614435236461695
0.85, 0.6, 29.17418721134731
0.85, 0.7, 33.62108762514568
0.85, 0.8, 38.97114169393842
0.875, 0.3, 17.860548814071745
0.875, 0.4, 20.73376330810595
0.875, 0.5, 24.478013689088712
0.875, 0.6, 29.063289733474967
0.875, 0.7, 33.45820730662774
0.875, 0.8, 38.75564355203195
0.9, 0.3, 17.682311025128556
0.9, 0.4, 20.56753519438775
0.9, 0.5, 24.340417836468436
0.9, 0.6, 28.93536888387103
0.9, 0.7, 33.298958907666176
0.9, 0.8, 38.51525005911558
0.925, 0.3, 17.460101212384718
0.925, 0.4, 20.410504329135783
0.925, 0.5, 24.199730755176475
0.925, 0.6, 28.821046218106616
0.925, 0.7, 33.094260042771644
0.925, 0.8, 38.28955550138966
0.95, 0.3, 17.266933609129243
0.95, 0.4, 20.238770103014716
0.95, 0.5, 24.066269862047626
0.95, 0.6, 28.70401669601995
0.95, 0.7, 33.638632028607546
0.95, 0.8, 38.05661964233376
0.975, 0.3, 17.04752613589935
0.975, 0.4, 20.061685187611612
0.975, 0.5, 23.93345978815924
0.975, 0.6, 28.562913111438764
0.975, 0.7, 32.72358806997356
0.975, 0.8, 37.79188808252081
1.0, 0.3, 16.85781996335095
1.0, 0.4, 19.90469259812357
1.0, 0.5, 23.76438334109767
