g, p, q, pore_AR
0.35, 0.05, 0.15, 5.935048680880988
0.35, 0.05, 0.2, 5.7722639948000145
0.35, 0.05, 0.25, 5.633184606763452
0.35, 0.05, 0.3, 5.179100968920421
0.35, 0.05, 0.35, 4.835063085633364
0.35, 0.05, 0.4, 4.036514639857871
0.35, 0.05, 0.45, 3.364092729239702
0.35, 0.05, 0.5, 2.796385438769407
0.35, 0.05, 0.55, 2.270531300131517
0.35, 0.05, 0.6, 1.888479477136265
0.35, 0.05, 0.65, 1.5931682406545398
0.35, 0.05, 0.7, 1.3157056030571075
0.35, 0.05, 0.75, 1.2004030873022082
0.35, 0.05, 0.8, 1.128559624978183
0.35, 0.05, 0.85, 1.036171119465904
0.35, 0.05, 0.9, 1.005850466077202
0.35, 0.05, 0.95, 0.9565397204183199
0.35, 0.05, 1, 0.925288549270447
0.35, 0.05, 1.05, 0.9097774310543515
0.35, 0.05, 1.1, 0.8978480258210727
0.4, 0.05, 0, 6.499208462146477
0.4, 0.05, 0.05, 6.543791753857461
0.4, 0.05, 0.1, 6.657731920790803
0.4, 0.05, 0.15, 6.537201495549501
0.4, 0.05, 0.2, 6.599015099492875
0.4, 0.05, 0.25, 6.185980110205236
0.4, 0.05, 0.3, 5.728622091341715
0.4, 0.05, 0.35, 4.853478171914192
0.4, 0.05, 0.4, 4.077912490768781
0.4, 0.05, 0.45, 3.234357093788995
0.4, 0.05, 0.5, 2.5367823986649687
0.4, 0.05, 0.55, 1.970301684593294
0.4, 0.05, 0.6, 1.4562375520630473
0.4, 0.05, 0.65, 1.0641888308246221
0.4, 0.05, 0.7, 1.212823749199656
0.4, 0.05, 0.75, 1.144254432362079
0.4, 0.05, 0.8, 0.9628508170176892
0.4, 0.05, 0.85, 0.8591284934626675
0.4, 0.05, 0.9, 0.7919578033703664
0.4, 0.05, 0.95, 0.9207204847742049
0.4, 0.05, 1, 0.9019864729468008
0.4, 0.05, 1.05, 0.8842860316138207
0.4, 0.05, 1.1, 0.8610809957005261
0.45, 0.05, 0, 7.009172315506571
0.45, 0.05, 0.05, 7.109763491629928
0.45, 0.05, 0.1, 7.400161021256853
0.45, 0.05, 0.15, 7.179222698372975
0.45, 0.05, 0.2, 7.279206543472172
