p, g, q, Energy
0.05, 0.35, 0.35, 16.29117894798192
0.05, 0.35, 0.4, 18.942237701103274
0.05, 0.35, 0.45, 20.50577213586631
0.05, 0.35, 0.5, 23.4141660686477
0.05, 0.35, 0.55, 26.132106118720294
0.05, 0.35, 0.6, 29.010762325960204
0.05, 0.35, 0.65, 31.917879797799053
0.05, 0.35, 0.7, 35.01697109328694
0.05, 0.35, 0.75, 38.024965297112495
0.05, 0.35, 0.8, 41.03047820273611
0.05, 0.35, 0.85, 36.97881295877669
0.05, 0.35, 0.9, 40.10695733318438
0.05, 0.35, 0.95, 42.699294740597495
0.05, 0.35, 1, 46.37121945304943
0.05, 0.35, 1.05, 48.78878974242726
0.05, 0.35, 1.1, 52.71250272331366
0.05, 0.4, 0, 12.041196231253096
0.05, 0.4, 0.05, 11.703088328663323
0.05, 0.4, 0.1, 11.847173242086225
0.05, 0.4, 0.15, 12.716571975401335
0.05, 0.4, 0.2, 13.175259423854722
0.05, 0.4, 0.25, 14.807669877609431
0.05, 0.4, 0.3, 15.767085064963048
0.05, 0.4, 0.35, 17.679981747238788
0.05, 0.4, 0.4, 19.813348350555415
0.05, 0.4, 0.45, 22.380301838228526
0.05, 0.4, 0.5, 25.02400133386181
0.05, 0.4, 0.55, 27.856771087346843
0.05, 0.4, 0.6, 31.277691345987524
0.05, 0.4, 0.65, 33.604060112699834
0.05, 0.4, 0.7, 36.35012364698017
0.05, 0.4, 0.75, 38.78249593776737
0.05, 0.4, 0.8, 42.17941896840752
0.05, 0.4, 0.85, 44.45075240850462
0.05, 0.4, 0.9, 48.12270535316541
0.05, 0.4, 0.95, 43.1936678008962
0.05, 0.4, 1, 46.29568608602747
0.05, 0.4, 1.05, 50.361662871383245
0.05, 0.4, 1.1, 52.7256449281958
0.05, 0.45, 0, 12.333957305164898
0.05, 0.45, 0.05, 12.172837985228458
0.05, 0.45, 0.1, 12.688857415919214
0.05, 0.45, 0.15, 13.390647301054923
0.05, 0.45, 0.2, 14.319666015121879
0.05, 0.45, 0.25, 15.78186129437481
0.05, 0.45, 0.3, 16.681630883142006
0.05, 0.45, 0.35, 18.92058927974777
0.05, 0.45, 0.4, 21.3826711438193
0.05, 0.45, 0.45, 23.756481459714596
0.05, 0.45, 0.5, 26.43291202038189
0.05, 0.45, 0.55, 29.42109354556475
0.05, 0.45, 0.6, 31.432326072247395
0.05, 0.45, 0.65, 34.026852656073366
0.05, 0.45, 0.7, 35.709601835575974
0.05, 0.45, 0.75, 38.76529486740077
0.05, 0.45, 0.8, 41.93876110392882
0.05, 0.45, 0.85, 44.59124811320176
0.05, 0.45, 0.9, 48.19219270295389
0.05, 0.45, 0.95, 51.41993176235744
0.05, 0.45, 1, 51.32525258617314
0.05, 0.45, 1.05, 50.484871672820745
0.05, 0.45, 1.1, 52.45635394137299
0.05, 0.5, 0, 13.728560465032817
0.05, 0.5, 0.05, 11.8540872078522
0.05, 0.5, 0.1, 13.098553853255545
0.05, 0.5, 0.15, 13.607199645531095
0.05, 0.5, 0.2, 14.342484391207112
0.05, 0.5, 0.25, 16.019270696759314
0.05, 0.5, 0.3, 18.248291016676088
0.05, 0.5, 0.35, 20.473887834693148
0.05, 0.5, 0.4, 22.679442317835772
0.05, 0.5, 0.45, 25.293547062981613
0.05, 0.5, 0.5, 28.128157307869692
0.05, 0.5, 0.55, 29.60474438109093
0.05, 0.5, 0.6, 31.462886686014528
0.05, 0.5, 0.65, 33.7634389731269
0.05, 0.5, 0.7, 36.248385665857064
0.05, 0.5, 0.75, 38.11732754942363
0.05, 0.5, 0.8, 41.18282298530304
0.05, 0.5, 0.85, 44.20927345573728
0.05, 0.5, 0.9, 47.50691888982882
0.05, 0.5, 0.95, 51.427816776290115
0.05, 0.5, 1, 55.69736653742362
0.05, 0.5, 1.05, 60.06274089431346
0.05, 0.5, 1.1, 54.32685190199109
0.05, 0.55, 0, 13.497520045547358
0.05, 0.55, 0.05, 13.086669612110512
0.05, 0.55, 0.1, 13.183710505241105
0.05, 0.55, 0.15, 13.420478718146658
0.05, 0.55, 0.2, 15.935015497459627
0.05, 0.55, 0.25, 17.915839271318433
0.05, 0.55, 0.3, 19.604869341494776
0.05, 0.55, 0.35, 21.674209664077566
0.05, 0.55, 0.4, 24.153002859217338
0.05, 0.55, 0.45, 26.39169565681713
0.05, 0.55, 0.5, 27.864593666002047
0.05, 0.55, 0.55, 30.004655921244858
0.05, 0.55, 0.6, 31.872253244881072
0.05, 0.55, 0.65, 33.836265509965685
0.05, 0.55, 0.7, 36.506998392937255
0.05, 0.55, 0.75, 39.35039269635472
0.05, 0.55, 0.8, 42.0002811998687
0.05, 0.55, 0.85, 45.69823835450433
0.05, 0.55, 0.9, 47.90044905021383
0.05, 0.55, 0.95, 51.71984567137431
0.05, 0.55, 1, 55.20349274859269
0.05, 0.55, 1.05, 58.810289792819916
0.05, 0.55, 1.1, 64.07267989604179
0.05, 0.6, 0, 14.280327225995435
0.05, 0.6, 0.05, 13.883307010141436
0.05, 0.6, 0.1, 14.585964299683038
0.05, 0.6, 0.15, 15.951604208986947
0.05, 0.6, 0.2, 17.09048429951251
0.05, 0.6, 0.25, 19.03767540185183
0.05, 0.6, 0.3, 20.905880750535943
0.05, 0.6, 0.35, 23.02188512990072
0.05, 0.6, 0.4, 25.3300685150472
0.05, 0.6, 0.45, 26.47472771162451
0.05, 0.6, 0.5, 28.04957765347137
0.05, 0.6, 0.55, 30.47436250766168
0.05, 0.6, 0.6, 32.17258189394973
0.05, 0.6, 0.65, 33.412887755988365
0.05, 0.6, 0.7, 36.633306306317934
0.05, 0.6, 0.75, 38.607815887833645
0.05, 0.6, 0.8, 42.02900709316882
0.05, 0.6, 0.85, 44.53274090591137
0.05, 0.6, 0.9, 47.92511832259743
0.05, 0.6, 0.95, 51.225361985895866
0.05, 0.6, 1, 56.117274531722465
0.05, 0.6, 1.05, 60.60850258649951
0.05, 0.6, 1.1, 65.04610105033105
0.05, 0.65, 0, 13.71103345769182
0.05, 0.65, 0.05, 14.251736041640815
0.05, 0.65, 0.1, 14.39161616636204
0.05, 0.65, 0.15, 16.750669834149413
0.05, 0.65, 0.2, 18.44495582399866
0.05, 0.65, 0.25, 20.325353382586716
0.05, 0.65, 0.3, 22.06440011958626
0.05, 0.65, 0.35, 24.91437297715587
0.05, 0.65, 0.4, 25.668364440510263
0.05, 0.65, 0.45, 26.776882557089344
0.05, 0.65, 0.5, 28.29987840327369
0.05, 0.65, 0.55, 30.25365559701177
0.05, 0.65, 0.6, 30.986999527404315
0.05, 0.65, 0.65, 34.10089072440358
0.05, 0.65, 0.7, 35.75518563663574
0.05, 0.65, 0.75, 39.334857114527324
0.05, 0.65, 0.8, 42.66661209213727
0.05, 0.65, 0.85, 44.50971270540043
0.05, 0.65, 0.9, 48.255597800413405
0.05, 0.65, 0.95, 51.90962648944251
0.05, 0.65, 1, 55.650771943909746
0.05, 0.65, 1.05, 59.23209633395741
0.05, 0.65, 1.1, 64.48213086376838
0.05, 0.7, 0, 13.844266180705947
0.05, 0.7, 0.05, 14.433607690311003
